,normalized_Un_MCF7 T_0A,normalized_Un_MCF7 T_3A,normalized_Un_MCF7 T_6A,normalized_Un_MCF7 T_9A,normalized_Un_MCF7 T_12A,normalized_Un_MCF7 T_24A,normalized_Un_MCF7 T_0B,normalized_Un_MCF7 T_3B,normalized_Un_MCF7 T_6B,normalized_Un_MCF7 T_9B,normalized_Un_MCF7 T_12B,normalized_Un_MCF7 T_24B,normalized_Un_MCF7 T_0C,normalized_Un_MCF7 T_3C,normalized_Un_MCF7 T_6C,normalized_Un_MCF7 T_9C,normalized_Un_MCF7 T_12C,normalized_Un_MCF7 T_24C
ENSG00000228327,0.5062478564905128,0.5828592375777268,0.7647981275727074,0.9583381697299255,0.8339471892495621,0.8308033668413309,0.5542142921757086,0.6981673183954283,0.880041686350946,0.8495179619440312,1.0,0.8274762879110529,0.5870159526803104,0.606549853115855,0.7608089672453551,0.9504088424282452,0.8939548782861266,0.8777280343472569
LINC01409,0.5487321548448048,0.8057028632189096,0.9257585702668957,0.9161051237726839,0.9370486381017077,0.8011420398110468,0.6238770954378227,0.8924100199442611,0.8985888280057422,0.7247584824914778,0.8543557322844328,0.7915314322026676,0.5982740760961525,0.8845869083227977,0.7905724954829004,0.7667142629391089,0.8769640277814461,1.0
LINC01128,0.7562278524062513,0.9216758609667609,0.8281714991349173,0.7707231839446275,0.6020816889529774,0.7283975717173257,0.8010185612577487,0.9407937379735359,0.7703106064765975,0.8040395603832273,0.8350690363622212,0.6617697742098998,0.6429641934153065,1.0,0.7735634339364544,0.7262391638421247,0.8139812009527843,0.6853455347918388
SAMD11,0.733280460261602,0.4605776182751548,0.7862505516796039,0.640908601208129,0.5709488460331544,0.8815070071196084,0.8179253059198948,0.5009453544460797,0.6465360567613275,0.5864357628131476,0.5362097608675543,0.7539262347486159,1.0,0.47495915058164845,0.7253882423284221,0.576774778860875,0.5661297553215334,0.9568538600705309
NOC2L,0.7301896091486478,0.790752133019473,0.9585519741602898,0.7053412522842321,0.8963117410886848,0.8773184182242779,0.834052366644401,1.0,0.7811905749502718,0.8144170543928512,0.7164954131746404,0.7405425629476311,0.8693940058352303,0.9965787315204029,0.916256868770352,0.7210596117556094,0.7999062626440226,0.6958066654596893
KLHL17,0.7832865456738008,0.49418309359958285,0.7570933902407643,1.0,0.8195325946580365,0.9103566335583109,0.7832445228217608,0.5555139754097754,0.8168701775873386,0.7047312403405894,0.6971294185758116,0.6582107889650918,0.7291756876309763,0.5510142889512434,0.8697364586156803,0.8586562004216004,0.7150606334289422,0.6943658566098173
PLEKHN1,0.8801219582457205,0.3489268492432193,0.3396024336560303,0.3773949225767664,0.5254118860785192,0.8163569109767114,0.9381245731883588,0.455561974502262,0.2949370878403087,0.39026521560662564,0.5106105524423451,0.6422358352679027,1.0,0.34004401684613883,0.34173292940467564,0.4301609885675858,0.4868499247210174,0.6748415257827177
ISG15,0.476772010284792,0.691595664500945,0.8119577283447116,0.7314455628447083,0.8972226848491054,0.8256469425113222,0.6465801829480176,0.8412041158125221,0.6887678206892798,0.7594899983940198,0.763625743649431,0.6095831812918089,0.5491360071480239,0.7065924746904826,0.75799376507037,0.8610486551384563,1.0,0.7966392478301725
AGRN,0.8862597884337159,0.7900485430644651,0.889711262031072,0.9018016946603019,0.8877597888542393,0.8243247943609205,1.0,0.8198703432848546,0.8309668206287932,0.8618650958976034,0.8527873307705459,0.6902846313600987,0.9785095632126756,0.7740436808718594,0.8425555863528658,0.9291324713813862,0.9311190981621968,0.7904234048160032
ENSG00000242590,0.8969269969309954,0.7665173857039527,0.8048903134306536,0.9530661757589763,0.9026373755686425,0.9781047349711351,1.0,0.8051581845341856,0.7802178536684224,0.8864650804432752,0.8432283524120454,0.9476028745081709,0.9540628210719942,0.8526725459086298,0.7960990633918793,0.8730870307120119,0.9875551679405883,0.9101231935686873
ENSG00000291156,0.4327619649305224,0.5096629612307565,0.5482273855651145,0.7168420244064153,0.8562863430701146,0.8217406875033808,0.4466143980908824,0.5653275269088074,0.6049565032947946,0.6314452337414344,1.0,0.7837540204775073,0.5283232799833795,0.518427720063041,0.5953120643581525,0.6949035815335821,0.8624239116489029,0.9918972304666854
ENSG00000217801,0.4952249721485518,0.5296927506672746,0.5438739977339956,0.7228115623390201,0.8850486835252538,0.7455113490717123,0.5094508990157991,0.5759103843857714,0.6263497774007771,0.6317070890708549,0.8435249395535057,0.8244892123656411,0.5393680774919415,0.5227979463585261,0.5426372297542736,0.7312977846203064,0.7154812981932092,1.0
RNF223,0.9922892605667026,0.2596927148156357,0.41111353620668595,0.4421265511139405,0.4006172538319535,0.5798684706160854,1.0,0.2978796235163372,0.46341048622419195,0.365763508672108,0.581689788385047,0.7884236894826356,0.982834600639664,0.30048414661310985,0.3895275234339305,0.3605131921236078,0.4697045476615706,0.5473328308284727
C1orf159,0.824771386717447,0.7077098201781413,0.9107434968213863,0.9542611287648787,0.9180975415835874,1.0,0.8282182482573126,0.6411001614787166,0.921236086395017,0.794769925043881,0.8909219363388106,0.9372391394330688,0.8391198693605143,0.6733376597941277,0.799334543061626,0.8057788882493128,0.857437380999297,0.9546120865086716
SDF4,0.7495695115067398,0.9266853569169298,0.9244813382336742,0.8805958173174024,0.8498594701156938,0.8789187770879482,0.7588255406804087,0.9883934940623721,0.8872433340307259,0.835072576910757,0.8137854428683945,0.8245370263521299,0.871051365619446,0.8731337215469811,1.0,0.8177753794590763,0.9314384280834662,0.8960184150137197
UBE2J2,0.6072998727463745,0.6412280757578088,1.0,0.8301643157859531,0.9178598788615762,0.7824418073297699,0.7982856413735935,0.851504028181091,0.9774715411813472,0.7902439702165043,0.7968979152091842,0.8840126330767653,0.6663645194442371,0.7704859841106231,0.8533012942772902,0.8393681285655724,0.7825363255460175,0.7277110171483432
ACAP3,0.897075644080993,0.8285547563820121,0.8677851917116559,0.8292879322226137,0.970214966351758,0.9800619489016561,0.9808257179685711,0.7679087373408369,0.9307648625911156,0.9419316165521135,0.8666606912910692,0.8864063005926207,1.0,0.7975132128733329,0.8925949800307618,0.8888411804838654,0.8982059739189335,0.9101410049005075
INTS11,0.8240438601039122,0.8653282974611808,0.9665140114592997,0.8534518414432466,0.7644475845672688,0.7971488293303197,0.8820957636021578,0.915317450518635,0.8959781933369599,0.7891231177155448,0.7459699892960282,0.8791873677839198,0.8834153939549648,0.786920938116922,1.0,0.8486996585142514,0.8009505368426711,0.8840395591980282
ENSG00000240731,0.7352132058889588,0.8401406343492306,0.9141063484901969,0.8106641373729542,0.6918329989940126,0.6029845677137762,0.7319956298561922,0.7876612141028472,1.0,0.6588109122646827,0.6692272668446277,0.8538568603966362,0.8427462927114225,0.8034756707206905,0.9721339120130219,0.7877764107199755,0.5901020096597317,0.7950058492670192
DVL1,0.8033026944017909,0.763288799226934,0.9881966151172069,0.8377449876745171,0.8955589606652792,0.9541955845328765,0.9827330929551411,0.6991890680253491,0.8087523326463283,0.6302682000958371,0.949891684658073,0.8717643040177115,0.936306415628625,0.6920716752106048,0.6869395527836923,0.788577059997636,1.0,0.8247525314311358
CCNL2,0.8257998851345387,0.9073965685605541,0.9795143995540735,0.8474559767073965,0.807578831917992,0.8143475683800055,0.9208574271933865,0.9415472772109997,0.9439929738960305,0.796304935465399,0.7744093210017636,0.7218648632305101,0.894815439514474,1.0,0.9213292000177292,0.7764349438129841,0.8527038162784583,0.7139793208493894
MRPL20,0.8626522820806923,0.7432073470808204,0.7458358916909188,0.6268506580862032,0.6567481907317918,0.7422117838793215,1.0,0.7250104398392493,0.7261879537190202,0.5942091247477095,0.608307479080603,0.6250252315209227,0.9172214011865217,0.710048154667965,0.6872759591546608,0.5551074758969117,0.6469237977381866,0.6323068776237608
